taluk_name,At current prices 2018_19_Gross Distric Domestic Product(GDDP) in Lakhs ,At current price 2018_19_Net District Domestic Product (NDDP) Rs in Lakhs ,At constan price 2011-12_Gross distric Domestic Product(GDDP) Rs in Lakhs ,At constan price 2011_12_Net District Domestic Product (NDDP) Rs in Lakhs ,Per capita income in Rs_2018_19_At Current Prices ,Per capita income in Rs_2011_12_At Constant Prices 
Afzalpur,203585,186705,154500,140566,79768,60056
Ajjampura,0,0,0,0,0,0
Aland,307670,281068,238213,215771,77319,59356
Alnavara,0,0,0,0,0,0
Alur,108683,97704,83536,74134,107884,81858
Anekal,1647214,1433802,1305338,1121121,260783,203912
Ankola,148812,136494,111661,101104,119715,88675
ANNIGERI,0,0,0,0,0,0
Arkalgud,284848,258470,225942,203166,118932,93485
Arsikere,446979,411803,338746,309172,122935,92297
Athani,573116,526699,407727,370746,94293,66373
Aurad,192903,176944,145930,132482,59831,44797
Babaleshwara,0,0,0,0,0,0
Badami,513968,472530,405200,369587,134446,105156
Bagalkote,442905,406143,352561,320816,134098,105926
Bagepalli,232099,213790,173068,157587,109678,80845
Bailhongal,1157949,1070043,901666,826725,264255,204166
Ballari,1222423,1112989,993508,901227,135906,110048
Bangalore (North),25246147,22720102,19250514,17086998,675229,507816
Bangalore North(Addi,0,0,0,0,0,0
Bangalore-East,6143034,5692145,4954803,4573751,183705,147610
Bangalore-South,9003332,7970985,6971202,6083309,248504,189653
BANGARPET,289433,260030,224264,198568,54057,41279
Bantwal,1079003,963702,890445,789274,229452,187921
Basavakalyan,362945,337864,275520,254280,92125,69334
Basavan Bagewadi,397657,364367,308067,279182,98361,75365
Belagavi,353106,318415,270063,240719,31309,23670
Belthangady,719344,641880,583839,516416,226660,182356
Belur,202891,188697,157575,145446,96301,74228
Bhadravathi,260756,236744,192528,172545,65578,47795
Bhalki,261054,237453,198234,178152,80596,60468
Bhatkal,206754,190486,159073,144968,110981,84461
Bidar,577106,530669,449219,409163,106303,81963
Bijapur,698922,639024,551716,499096,83426,65158
Bilagi,249006,227413,187029,169156,133555,99342
Bramhavara,0,0,0,0,0,0
Byadagi,149504,138108,114171,104298,92191,69622
Bynduru,0,0,0,0,0,0
Chadachana,0,0,0,0,0,0
Challakere,369360,335191,275521,246589,86264,63462
Chamarajanagara,422452,390676,323682,297283,102788,78216
Channagiri,305597,279784,222705,201512,87121,62748
Channapatna,431595,392440,342044,307929,141381,110935
Channarayapatna,318764,292718,249070,226805,98484,76308
chikballapur,401058,369983,302240,275867,163875,122189
Chikkodi,708269,651417,530486,483304,97524,72355
Chikmagalur,635990,590361,502435,463734,181994,142958
Chiknayakanahalli,354271,323912,257933,233649,143743,103687
Chincholi,249777,224330,199398,177712,83048,65789
Chinthamani,413678,380289,314575,285977,120104,90318
chitradurga,468550,429403,360838,326588,95364,72531
Chittaguppa,0,0,0,0,0,0
Chittapur,367550,331033,280974,250182,77099,58269
Dandelli,0,0,0,0,0,0
Davanagere,791662,726299,598043,542939,100255,74945
Devanahalli,324669,296799,248947,225226,133287,101145
Devara Hipparagi,0,0,0,0,0,0
Devdurga,271109,249128,203402,185036,83577,62076
Dharwad,376365,338899,296962,264401,44194,34479
Doddaballapura,552018,496041,433302,385176,155865,121029
Gadag,507928,466636,390696,355825,119611,91207
Gajendragad,0,0,0,0,0,0
Gangavathi,442899,409497,339996,311230,83820,63705
gauribidanur,241973,222333,181987,165245,71924,53457
Gokak,573279,522835,425041,383536,80401,58980
Gubbi,337720,306872,244744,220029,110043,78901
gudibande,71824,65979,53783,48811,111247,82300
Gulbarga,254187,235094,189181,173631,26670,19697
Guledagudda,0,0,0,0,0,0
Gundlupet,359735,329878,263823,239812,139211,101203
Gurumithakala,0,0,0,0,0,0
Hadagali,235132,212074,190606,170717,102265,82322
Hagaribommanahalli,248381,224912,201602,181515,112478,90776
Haliyal,201978,183920,159170,143616,119084,92988
Hangal,246369,227538,185213,169207,82240,61158
Harapanahalli,335079,305503,247663,222997,95229,69510
Harihar,290442,265238,217782,196652,98237,72834
Hassan,716984,665184,561368,516596,158062,122754
Haveri,389119,359647,296116,270792,120759,90924
Hebri,0,0,0,0,0,0
Heggadadevanakote,302651,277306,231033,209030,98992,74619
Hirekerur,224227,207379,170264,155727,84470,63431
hiriyur,264037,241047,197579,178064,79304,58583
holalkere,215524,195764,163348,146268,88916,66435
Holenarasipura,314388,287765,242801,220073,148691,113714
Honnali,271433,249443,199111,180882,100692,73016
Honnavar,239161,220123,181654,165419,124632,93659
hosadurga,275590,252055,207569,187396,100920,75031
Hosanagar,578365,531322,437169,397720,423087,316701
Hoskote,483051,436192,382522,342088,151622,118911
Hospet,778841,705212,633235,571612,144322,116981
Hubballi Nagara,0,0,0,0,0,0
Hubli,1686340,1553792,1332360,1217733,237954,186488
Hukkeri,359866,330537,271896,247409,77932,58333
Hulasuru,0,0,0,0,0,0
Humnabad,289873,267946,220020,201446,75893,57057
Hungund,499176,457147,397915,361590,133923,105930
Hunisigi,0,0,0,0,0,0
Hunsur,546590,493282,432137,385229,164108,128160
Ilkal,0,0,0,0,0,0
Indi,452689,414031,343106,310183,92542,69330
Jagaluru,177346,162290,127307,115026,88915,63020
Jamakhandi,758390,693731,558825,506370,133768,97641
Jevargi,382924,344844,297184,265063,109338,84042
Joida,58281,53580,46129,42052,64627,50722
K.G.F,0,0,0,0,0,0
K.R.Nagar,337398,305435,264218,236220,113802,88013
Kadaba,0,0,0,0,0,0
Kadur,541974,498205,413569,377205,160799,121745
Kagavada,0,0,0,0,0,0
Kalagi,0,0,0,0,0,0
Kalgatgi,262986,239716,208708,188370,145910,114657
Kamalanagara,0,0,0,0,0,0
Kamalapura,0,0,0,0,0,0
Kampli,0,0,0,0,0,0
Kanakagiri,0,0,0,0,0,0
Kanakpura,505860,461219,382121,344656,123742,92469
Kapu,0,0,0,0,0,0
Karatagi,0,0,0,0,0,0
Karkala,798523,724586,639519,575405,315658,250669
Karwar,307876,283389,241046,219611,171877,133195
Khanapur,288792,265700,218129,198975,96914,72576
Kitthuru,0,0,0,0,0,0
Kolar,679738,627157,533546,487670,153185,119115
Kolhara,0,0,0,0,0,0
Kollegala,425604,393300,343404,314973,103462,82857
Kollegala(Hanur),0,0,0,0,0,0
Koppa,400734,359078,330767,294307,398232,326398
koppal,453688,415779,337511,305994,103606,76249
Koratagere,250184,228245,178381,160954,128208,90409
Kotturu,0,0,0,0,0,0
Krishnarajpet,442304,409032,338965,310666,147825,112275
Kudligi,325507,295937,264487,239126,90187,72874
Kukanuru,0,0,0,0,0,0
Kumta,225488,207782,174529,159277,126783,97186
Kundapur,747929,687320,598187,545513,162377,128876
Kundgol,141723,128569,111154,99726,73101,56702
Kunigal,399064,364465,290637,262878,151960,109604
Kurugodu,0,0,0,0,0,0
Kushtagi,203386,186968,156338,142054,61802,46956
Laxmeshwar,0,0,0,0,0,0
Lingasugur,473067,432930,361967,328116,105665,80083
Maddur,375833,344906,285361,259379,109902,82650
Madhugiri,290985,266430,215482,195500,93633,68705
Madikeri,215839,199737,158641,145214,128274,93259
Magadi,329298,296252,250413,222531,136815,102769
Malavalli,439904,404330,346844,316098,134371,105049
Malur,442811,396660,354082,313624,157609,124615
Mandya,782801,725961,628218,579192,164615,131334
Mangalore,3865670,3541274,3127295,2842607,335176,269048
Manvi,338980,310443,253813,229990,78842,58410
Maski,0,0,0,0,0,0
Molakalmuru,169509,153756,131230,117508,102448,78295
Mudabidri,0,0,0,0,0,0
Mudagali,0,0,0,0,0,0
Muddebihal,263160,240340,202615,182980,77832,59256
Mudhol,472154,431070,346895,313506,133512,97100
Mudigere,307554,286106,242060,224078,210197,164626
Mulabagilu,380246,347640,295454,267039,126387,97084
Mundargi,144861,132646,113992,103093,94672,73579
Mundgod,113042,104306,88105,80610,92482,71472
Mysuru,1498260,1376660,1173250,1066185,101107,78304
Nagamangala,282963,264034,215297,199306,132282,99854
Nanjangud,417152,380021,319843,287582,92939,70332
Naragund,131689,121087,104081,94671,113283,88570
Narasimharajapura,186910,170750,150320,136362,243214,194232
Navalgund,323727,297581,256046,233300,147278,115464
Nelamangala,497448,451949,385492,346735,201743,154777
Nidagundi,0,0,0,0,0,0
Nippani,0,0,0,0,0,0
Nyamati,0,0,0,0,0,0
Pandavpura,320684,295196,248780,227061,151561,116579
Pavagada,452656,414551,346342,314620,159159,120792
Piriyapatna,441910,393586,354285,311636,152426,120689
Puttur,734328,657559,598013,531106,215045,173691
RABAKAVI BANAHATTI,0,0,0,0,0,0
Raibag,415259,379517,304486,275233,88108,63898
Raichur,525892,481424,402286,365008,90888,68910
Ramadurg,324877,298270,245987,223657,108609,81440
Ramanagar,574371,522611,460469,415063,184527,146553
Ranebennur,403083,369512,309738,280794,103749,78839
Ratteehalli,0,0,0,0,0,0
Rona,261772,240680,203373,185168,85782,65997
Sagara,449606,413937,327594,298548,188868,136219
Sakleshpura,214342,198535,163358,150145,145294,109881
Saraguru,0,0,0,0,0,0
Savadatti,349485,320331,260521,236209,85443,63004
Savanur,181230,166198,138098,125136,96864,72932
Sedam,735002,676506,571164,522135,291367,224880
Shahapur,336976,309267,257180,233548,80066,60463
Shahbadha,0,0,0,0,0,0
Shidlagatta,240303,215398,187427,165964,94678,72949
Shiggaon,159796,147248,121290,110494,73767,55354
shikaripura,272501,252213,205744,188719,99664,74573
shimoga,914463,847661,710900,652893,157289,121149
Shirahatti,208219,190416,161804,146497,89328,68724
Shorapur,466521,428259,354860,322191,97784,73565
Siddapur,173861,161216,133202,122517,155941,118508
Sindagi,398718,365544,297122,269244,86969,64058
Sindhanur,414001,380971,306130,278929,91210,66779
Sira,541523,488190,417715,373285,146473,111998
Siraguppa,413464,378035,331604,302098,132244,105680
Sirivara,0,0,0,0,0,0
Sirsi,324952,300540,246868,226255,151369,113955
somawarpet,258328,238121,202519,184403,108550,84062
Sonduru,635094,565881,525485,466902,204719,168912
Soraba,317180,291601,230471,209672,136700,98292
Sringeri,167571,149319,140700,124581,384700,320966
Srinivaspura,234422,217297,177620,162831,101114,75770
Srirangapatna,304611,279593,235329,214054,146069,111829
Sulya,320949,291146,251177,225692,188724,146296
T.Narasipura,374336,344587,286988,261194,111078,84196
Talikote,0,0,0,0,0,0
Tarikere,343822,313818,264492,239371,131135,100026
Thirthahalli,405059,363652,311112,275926,241069,182915
Tikota,0,0,0,0,0,0
Tiptur,408801,371169,306202,275455,156862,116412
Tumkur,1217163,1112245,927107,840180,176746,133513
Turuvekere,256917,234501,187863,169818,130628,94596
Udupi,1550172,1418992,1224837,1110055,237350,185675
Vadagera,0,0,0,0,0,0
Virajpet,230166,212106,161013,146663,99127,68542
Yadgir,311061,283413,240216,216475,66974,51156
Yadrami,0,0,0,0,0,0
Yalandur,125819,115368,101923,92766,132334,106408
yelburga,229187,210080,173456,156947,73947,55244
Yellapur,110479,102440,82445,75784,122593,90693
NA,115591207,105087350,89469657,80497733,23478671,18002204
